"","ESI","type","mu_normal","mu_ppe","mu_ct"
"1","ESI-2","mu_1.1",5.41317966059533,4.88296521418737,5.28418963787284
"2","ESI-2","mu_1.2",5.41486162238369,4.78633393845018,5.26726452194545
"3","ESI-2","mu_1.3",5.47849509438609,4.90459964839728,5.34105459681422
"4","ESI-3","mu_1.1",5.34660868727282,5.41834475989299,5.95228099512694
"5","ESI-3","mu_1.2",5.45828732836104,5.52498892308689,6.03044761557103
"6","ESI-3","mu_1.3",5.34660868727282,5.41834475989299,5.95228099512694
