"","ESI","type","mu_normal","mu_ppe","mu_ct"
"1","ESI-2","mu_1.1",5.33,5.2967680110233,5.48803886581404
"2","ESI-2","mu_1.2",5.32,5.28178089013057,5.49933206691918
"3","ESI-2","mu_1.3",5.39,5.35450911455298,5.55775291577845
"4","ESI-3","mu_1.1",5.37,5.33724454536165,5.55410114695666
"5","ESI-3","mu_1.2",5.48,5.44960546710513,5.65209299796766
"6","ESI-3","mu_1.3",5.37,5.33724454536165,5.55410114695666
