"","ESI","type","mu_normal","mu_ppe","mu_ct"
"1","ESI-2","mu_1.1",5.33,5.12726204621836,5.35018467063942
"2","ESI-2","mu_1.2",5.32,5.08361371135816,5.3431222040415
"3","ESI-2","mu_1.3",5.39,5.1721405286064,5.41151809923346
"4","ESI-3","mu_1.1",5.37,5.13310483656651,5.39316580995177
"5","ESI-3","mu_1.2",5.48,5.26190244839552,5.50153891844187
"6","ESI-3","mu_1.3",5.37,5.13310483656651,5.39316580995177
